Timestamp,Temperature (°C),Humidity (%),lpg,co,smoke
2024-10-08 17:59:30.466,26.9,33.0,0.14,0.73,119.11
2024-10-08 17:59:37.505,26.9,33.0,14.84,0.09,0.88
2024-10-08 17:59:43.851,26.9,33.0,1.17,0.11,1.01
2024-10-08 17:59:50.197,26.9,33.0,0.06,0.06,0.62
2024-10-08 17:59:56.965,26.8,34.0,10.04,6.58,0.18
2024-10-08 18:00:04.954,26.9,34.0,21.52,9.62,0.81
2024-10-08 18:00:11.220,26.9,34.0,0.06,0.56,126.72
2024-10-08 18:00:18.334,26.9,34.0,0.19,0.62,5.5
2024-10-08 18:00:25.427,26.9,33.0,1.04,0.48,0.59
2024-10-08 18:00:31.780,26.9,33.0,1.04,0.54,0.75
2024-10-08 18:00:40.719,26.8,34.0,0.06,0.51,0.19
2024-10-08 18:01:45.095,26.9,34.0,0.92,0.12,0.81
2024-10-08 18:01:51.606,26.9,34.0,0.91,11.26,0.17
2024-10-08 18:01:57.922,26.9,34.0,0.07,0.78,8.68
2024-10-08 18:02:04.247,26.9,34.0,21.75,0.53,0.92
2024-10-08 18:02:10.554,26.8,34.0,18.56,705.38,185.04
2024-10-08 18:02:18.228,26.9,34.0,14.64,7.22,0.21
2024-10-08 18:02:24.526,26.9,34.0,14.02,6.58,0.7
2024-10-08 18:02:30.909,26.9,34.0,0.05,0.6,0.19
2024-10-08 18:02:37.557,26.9,34.0,0.07,0.63,0.15
2024-10-08 18:02:44.056,26.9,34.0,0.17,0.53,5.08
2024-10-08 18:02:52.443,26.9,34.0,1.37,5.17,117.5
2024-10-08 18:02:58.832,26.9,34.0,21.01,474.24,0.84
2024-10-08 18:03:05.167,26.8,34.0,0.15,0.08,0.98
2024-10-08 18:03:11.649,26.9,34.0,0.06,0.55,5.26
2024-10-08 18:03:18.915,26.9,34.0,0.16,11.43,120.25
2024-10-08 18:03:25.737,26.8,34.0,0.91,0.08,0.81
2024-10-08 18:03:32.416,26.8,34.0,9.68,0.67,0.72
2024-10-08 18:03:38.768,26.8,34.0,11.5,245.11,0.14
2024-10-08 18:03:45.071,26.9,34.0,13.37,275.25,7.38
2024-10-08 18:03:51.480,26.9,34.0,0.16,409.47,3.09
2024-10-08 18:03:57.046,26.9,33.0,0.06,0.51,0.18
2024-10-08 18:04:04.633,26.9,34.0,0.06,417.31,128.59
2024-10-08 18:04:10.931,26.9,34.0,0.2,361.16,102.65
2024-10-08 18:04:17.285,26.9,34.0,0.07,7.38,76.63
2024-10-08 18:04:23.726,27.0,34.0,16.87,358.78,6.1
2024-10-08 18:04:30.075,27.0,34.0,13.21,309.69,0.55
2024-10-08 18:04:36.414,27.0,34.0,17.68,0.09,0.82
2024-10-08 18:04:42.756,27.0,34.0,0.19,0.11,0.72
2024-10-08 18:04:49.137,27.0,33.0,0.06,0.67,138.98
2024-10-08 18:04:55.577,27.0,34.0,2.14,644.29,271.1
2024-10-08 18:05:01.942,27.0,34.0,0.07,4.69,8.21
2024-10-08 18:05:08.402,27.0,34.0,0.07,0.8,0.18
2024-10-08 18:05:14.826,27.0,34.0,1.84,383.24,151.52
2024-10-08 18:05:21.172,27.0,34.0,13.8,908.95,1.13
2024-10-08 18:05:27.504,27.0,34.0,0.22,0.13,1.18
2024-10-08 18:05:33.870,27.1,35.0,15.22,1242.34,5.34
2024-10-08 18:05:40.224,27.0,34.0,18.81,1016.5,199.47
2024-10-08 18:05:46.568,27.0,34.0,22.13,603.08,6.94
2024-10-08 18:05:52.911,27.1,34.0,35.78,0.65,0.92
2024-10-08 18:05:59.250,27.0,34.0,0.2,0.1,0.89
2024-10-08 18:06:05.540,27.1,34.0,0.07,0.65,0.19
2024-10-08 18:06:11.862,27.1,34.0,20.59,0.56,6.64
2024-10-08 18:06:18.222,27.1,33.0,0.07,260.52,173.51
2024-10-08 18:06:24.541,27.0,33.0,0.37,0.24,1.85
2024-10-08 18:06:31.567,27.0,36.0,72.89,1.42,0.32
2024-10-08 18:06:37.976,27.1,35.0,46.59,1582.13,246.65
2024-10-08 18:06:44.322,27.1,35.0,33.8,1150.18,1.55
2024-10-08 18:06:50.667,27.1,34.0,21.64,10.6,1.24
2024-10-08 18:06:56.010,27.0,34.0,1.51,0.1,1.28
2024-10-08 18:07:03.333,27.1,34.0,0.24,10.41,225.83
2024-10-08 18:07:09.642,27.1,34.0,0.07,0.74,0.95
2024-10-08 18:07:15.913,27.1,34.0,14.47,566.64,1.19
2024-10-08 18:07:22.300,27.1,34.0,0.19,0.1,0.81
2024-10-08 18:07:28.606,27.1,34.0,31.62,9.26,0.2
2024-10-08 18:07:34.909,27.2,34.0,15.87,1102.28,5.64
2024-10-08 18:07:41.263,27.1,33.0,0.3,824.44,229.57
2024-10-08 18:07:47.563,27.2,34.0,0.21,517.82,141.27
2024-10-08 18:07:53.968,27.1,33.0,0.08,406.56,128.11
2024-10-08 18:08:00.361,27.2,34.0,1.12,470.74,234.33
2024-10-08 18:08:06.756,27.2,34.0,24.79,1206.14,7.02
2024-10-08 18:08:13.141,27.2,33.0,0.08,0.87,0.99
2024-10-08 18:08:19.561,27.2,33.0,2.7,752.86,326.3
2024-10-08 18:08:25.005,27.2,34.0,24.66,1367.55,0.96
2024-10-08 18:08:32.299,27.2,33.0,46.29,17.49,0.27
2024-10-08 18:08:38.692,27.1,33.0,0.23,0.16,1.28
2024-10-08 18:08:44.047,27.2,33.0,35.17,0.86,1.23
2024-10-08 18:08:51.400,27.2,33.0,25.56,476.87,1.06
2024-10-08 18:08:57.777,27.2,33.0,0.1,1.01,0.26
2024-10-08 18:09:04.062,27.1,33.0,0.23,0.75,148.74
2024-10-08 18:09:10.339,27.2,33.0,34.91,0.14,1.27
2024-10-08 18:09:16.685,27.2,33.0,1.41,0.12,1.08
2024-10-08 18:09:22.029,27.2,33.0,0.3,0.16,1.34
2024-10-08 18:09:29.383,27.2,34.0,2.14,0.18,1.57
2024-10-08 18:09:35.737,27.2,34.0,36.35,0.58,1.13
2024-10-08 18:09:42.054,27.2,33.0,0.23,1.22,165.21
2024-10-08 18:09:48.362,27.2,33.0,0.08,0.71,0.23
2024-10-08 18:09:54.659,27.3,33.0,0.01,0.0,0.02
2024-10-08 18:10:01.101,27.2,33.0,0.24,0.12,192.41
2024-10-08 18:10:07.441,27.2,33.0,0.28,1748.64,494.5
2024-10-08 18:10:13.733,27.2,33.0,36.25,3066.57,1.12
2024-10-08 18:10:19.046,27.3,33.0,0.29,0.12,7.9
2024-10-08 18:10:26.445,27.2,33.0,0.08,0.79,8.03
2024-10-08 18:10:32.877,27.3,33.0,36.34,0.68,1.15
2024-10-08 18:10:39.228,27.3,33.0,33.28,25.6,1.43
2024-10-08 18:10:45.535,27.3,33.0,8.32,12.55,337.62
2024-10-08 18:10:51.938,27.2,33.0,0.44,1404.6,314.11
2024-10-08 18:10:58.246,27.2,33.0,0.18,0.12,1.32
2024-10-08 18:11:04.659,27.3,33.0,0.09,0.64,0.25
2024-10-08 18:11:11.079,27.3,33.0,0.2,575.4,8.13
2024-10-08 18:11:17.423,27.3,33.0,27.83,9.33,1.0
2024-10-08 18:11:23.766,27.3,33.0,1.03,0.12,1.04
2024-10-08 18:11:30.122,27.3,32.0,19.01,14.14,1.52
2024-10-08 18:11:36.411,27.3,33.0,0.21,1.0,0.28
2024-10-08 18:11:42.686,27.2,33.0,0.21,0.09,94.89
2024-10-08 18:11:49.090,27.2,33.0,0.05,0.46,0.5
2024-10-08 18:11:55.538,27.2,33.0,0.06,0.37,0.58
2024-10-08 18:12:01.843,27.2,33.0,0.13,0.05,4.58
2024-10-08 18:12:08.225,27.2,33.0,8.53,197.78,76.8
2024-10-08 18:12:14.515,27.2,33.0,8.94,332.96,0.5
2024-10-08 18:12:20.821,27.1,33.0,1.02,107.72,0.48
2024-10-08 18:12:27.317,27.1,33.0,10.87,182.57,1.07
2024-10-08 18:12:33.622,27.1,33.0,0.18,318.06,111.88
2024-10-08 18:12:39.915,27.1,33.0,17.39,276.75,120.24
2024-10-08 18:12:46.221,27.2,33.0,0.06,4.87,55.5
2024-10-08 18:12:52.544,27.1,33.0,0.18,0.06,0.68
2024-10-08 18:12:58.889,27.1,33.0,0.14,0.06,0.58
2024-10-08 18:13:05.243,27.1,33.0,0.14,0.08,0.69
2024-10-08 18:13:11.552,27.1,33.0,13.21,265.84,0.6
2024-10-08 18:13:17.949,27.0,33.0,16.04,8.49,0.79
2024-10-08 18:13:24.302,27.1,34.0,12.35,426.88,0.72
2024-10-08 18:13:30.642,27.1,33.0,10.55,0.07,0.71
2024-10-08 18:13:36.923,27.0,33.0,0.05,0.52,0.17
2024-10-08 18:13:43.197,27.1,33.0,1.02,322.72,5.61
2024-10-08 18:13:49.592,27.1,33.0,18.15,7.47,0.74
2024-10-08 18:13:55.948,27.0,33.0,1.93,564.35,139.62
